EmployeeID ,DiscussionCount ,LastPostDate
         2 ,              2 ,2024-08-30 19:51:30
         3 ,              2 ,2024-09-09 09:12:54
         5 ,              3 ,2024-05-16 06:28:13
         8 ,              3 ,2024-08-13 22:29:51
        10 ,              3 ,2024-09-16 01:15:17
        11 ,              1 ,2024-06-09 06:00:17
        12 ,              3 ,2024-10-04 07:05:24
        14 ,              2 ,2024-03-29 01:56:03
        15 ,              1 ,2024-09-18 10:03:49
        16 ,              5 ,2024-09-14 13:31:09
        17 ,              1 ,2024-03-20 13:44:48
        18 ,              3 ,2024-07-25 06:27:09
        19 ,              1 ,2024-02-11 12:20:01
        20 ,              3 ,2024-06-30 03:06:40
        21 ,              1 ,2024-08-28 07:05:20
        22 ,              2 ,2024-05-26 15:27:53
        23 ,              2 ,2024-05-06 19:13:54
        24 ,              3 ,2024-06-20 09:53:57
        25 ,              3 ,2024-08-20 20:04:14
        27 ,              2 ,2024-03-18 12:01:03
        28 ,              3 ,2024-07-21 16:53:31
        31 ,              1 ,2024-08-15 05:04:28
        34 ,              4 ,2024-08-11 07:23:32
        35 ,              2 ,2024-08-23 18:15:48
        36 ,              2 ,2024-06-17 09:12:44
        37 ,              1 ,2024-09-03 08:31:47
        38 ,              2 ,2024-08-10 17:53:08
        39 ,              1 ,2024-03-08 08:03:29
        40 ,              1 ,2024-07-07 09:51:55
        42 ,              1 ,2024-09-17 11:41:05
        43 ,              2 ,2024-06-25 06:06:46
        44 ,              3 ,2024-06-01 08:15:43
        46 ,              1 ,2024-06-03 18:53:33
        47 ,              2 ,2024-09-05 00:24:40
        48 ,              2 ,2024-05-28 15:35:46
        49 ,              4 ,2024-10-02 05:27:11
        51 ,              2 ,2024-06-06 15:46:09
        52 ,              2 ,2024-05-30 22:53:54
        53 ,              1 ,2024-01-22 12:44:15
        54 ,              1 ,2024-09-27 02:50:05
        55 ,              2 ,2024-04-11 04:38:53
        56 ,              1 ,2024-08-08 11:09:25
        57 ,              1 ,2024-07-18 18:15:32
        58 ,              1 ,2024-02-18 19:04:23
        59 ,              1 ,2024-07-23 08:57:27
        61 ,              3 ,2024-07-25 04:31:48
        62 ,              3 ,2024-04-07 17:18:08
        63 ,              2 ,2024-02-17 08:02:18
        64 ,              1 ,2024-07-07 01:48:19
        66 ,              4 ,2024-07-29 14:49:24
        67 ,              2 ,2024-07-31 18:02:18
        68 ,              1 ,2024-03-24 14:26:04
        69 ,              2 ,2024-04-27 17:55:04
        70 ,              1 ,2024-04-01 02:07:28
        71 ,              2 ,2024-09-21 19:05:19
        73 ,              3 ,2024-06-09 23:20:16
        75 ,              3 ,2024-09-15 16:52:52
        76 ,              1 ,2024-07-16 06:13:07
        77 ,              3 ,2024-07-06 01:49:41
        78 ,              2 ,2024-08-19 01:34:03
        79 ,              1 ,2024-05-20 05:56:21
        80 ,              1 ,2024-08-12 04:36:25
        81 ,              3 ,2024-09-29 00:01:01
        82 ,              1 ,2024-01-19 13:27:42
        83 ,              3 ,2024-07-07 15:40:50
        85 ,              1 ,2024-02-16 01:45:39
        86 ,              2 ,2024-09-06 09:16:49
        88 ,              1 ,2024-01-20 11:23:19
        89 ,              3 ,2024-06-18 06:24:39
        91 ,              1 ,2024-09-28 01:36:17
        92 ,              1 ,2024-03-16 23:49:26
        94 ,              1 ,2024-07-24 23:47:01
        95 ,              1 ,2024-05-09 09:48:28
        96 ,              2 ,2024-09-22 17:23:08
        98 ,              1 ,2024-08-31 04:53:41
        99 ,              2 ,2024-08-04 03:29:56
       100 ,              2 ,2024-09-27 03:30:09
       101 ,              1 ,2024-02-02 15:04:19
       102 ,              1 ,2024-04-21 23:36:40
       103 ,              4 ,2024-08-24 13:22:49
       104 ,              2 ,2024-06-06 21:20:45
       105 ,              1 ,2024-08-16 00:26:46
       106 ,              2 ,2024-09-15 14:47:21
       107 ,              1 ,2024-10-02 01:30:26
       108 ,              2 ,2024-09-02 07:10:09
       109 ,              2 ,2024-07-18 16:15:29
       110 ,              2 ,2024-08-30 17:44:13
       111 ,              3 ,2024-06-21 05:23:47
       112 ,              1 ,2024-05-27 21:05:29
       113 ,              3 ,2024-09-15 18:23:14
       114 ,              1 ,2024-07-05 07:29:39
       116 ,              1 ,2024-01-05 19:44:05
       117 ,              4 ,2024-07-09 22:53:16
       118 ,              4 ,2024-05-11 22:04:26
       119 ,              4 ,2024-05-28 05:27:11
       120 ,              5 ,2024-07-21 04:10:56
       122 ,              3 ,2024-02-20 14:50:01
       123 ,              2 ,2024-07-05 18:45:34
       125 ,              1 ,2024-03-25 19:35:29
       127 ,              4 ,2024-07-05 05:12:22
       130 ,              1 ,2024-04-28 08:39:10
       131 ,              1 ,2024-06-25 01:16:05
       132 ,              1 ,2024-09-03 07:36:30
       134 ,              2 ,2024-06-24 08:24:07
       135 ,              1 ,2024-07-19 23:55:16
       137 ,              1 ,2024-06-29 06:16:26
       138 ,              1 ,2024-01-03 16:07:50
       139 ,              1 ,2024-09-26 09:21:27
       140 ,              1 ,2024-04-28 09:49:28
       141 ,              2 ,2024-08-15 20:09:20
       142 ,              3 ,2024-08-29 07:42:13
       143 ,              2 ,2024-05-30 01:45:23
       145 ,              1 ,2024-09-26 20:26:35
       146 ,              1 ,2024-02-18 03:40:36
       148 ,              2 ,2024-07-06 21:44:35
       150 ,              1 ,2024-03-22 12:35:33
       151 ,              1 ,2024-05-22 09:19:04
       152 ,              1 ,2024-06-13 17:46:21
       153 ,              2 ,2024-06-14 10:57:37
       157 ,              1 ,2024-02-20 18:07:33
       158 ,              1 ,2024-01-25 14:52:25
       160 ,              3 ,2024-07-07 10:12:10
       161 ,              1 ,2024-02-10 01:03:20
       163 ,              4 ,2024-08-04 21:08:14
       166 ,              2 ,2024-06-14 06:10:10
       168 ,              1 ,2024-03-07 01:12:41
       169 ,              1 ,2024-09-23 00:12:14
       170 ,              4 ,2024-08-14 16:05:14
       171 ,              2 ,2024-06-03 06:15:04
       172 ,              1 ,2024-06-14 05:17:28
       176 ,              1 ,2024-08-03 03:22:57
       177 ,              1 ,2024-09-24 08:38:27
       178 ,              1 ,2024-01-18 17:32:35
       180 ,              1 ,2024-04-27 16:23:24
       182 ,              2 ,2024-08-12 15:23:05
       183 ,              1 ,2024-01-16 00:49:39
       185 ,              4 ,2024-10-03 07:57:58
       186 ,              1 ,2024-09-09 11:40:45
       187 ,              1 ,2024-05-02 15:37:24
       189 ,              2 ,2024-06-08 12:04:27
       190 ,              1 ,2024-04-28 02:28:53
       191 ,              1 ,2024-07-09 10:31:38
       192 ,              2 ,2024-07-08 04:23:37
       193 ,              2 ,2024-07-27 18:11:10
       194 ,              2 ,2024-04-21 21:53:21
       195 ,              3 ,2024-09-26 03:09:45
       196 ,              1 ,2024-06-27 09:05:22
       198 ,              3 ,2024-05-10 21:45:19
       200 ,              2 ,2024-02-14 10:55:14
       202 ,              2 ,2024-06-20 03:27:49
       203 ,              1 ,2024-01-21 17:13:13
       204 ,              3 ,2024-05-02 15:10:41
       205 ,              1 ,2024-06-16 03:18:22
       206 ,              3 ,2024-10-03 13:43:32
       207 ,              1 ,2024-05-29 10:56:20
       208 ,              2 ,2024-09-15 08:03:21
       210 ,              3 ,2024-09-30 10:52:05
       211 ,              1 ,2024-07-04 16:20:28
       212 ,              2 ,2024-02-22 20:29:52
       213 ,              1 ,2024-05-25 20:28:30
       214 ,              1 ,2024-08-04 06:03:41
       215 ,              1 ,2024-06-24 03:50:13
       216 ,              1 ,2024-07-08 10:30:03
       217 ,              1 ,2024-08-11 05:54:01
       218 ,              2 ,2024-07-29 04:25:26
       219 ,              2 ,2024-07-06 03:57:29
       222 ,              1 ,2024-07-28 14:22:21
       223 ,              2 ,2024-07-12 00:25:33
       224 ,              2 ,2024-08-20 11:08:53
       225 ,              2 ,2024-07-22 16:06:08
       226 ,              3 ,2024-08-01 11:31:09
       228 ,              2 ,2024-02-27 21:57:56
       230 ,              4 ,2024-04-29 18:05:20
       231 ,              2 ,2024-08-29 12:12:46
       232 ,              2 ,2024-05-29 06:34:51
       234 ,              3 ,2024-09-27 23:44:58
       235 ,              2 ,2024-08-23 06:29:40
       236 ,              2 ,2024-09-29 13:20:33
       237 ,              1 ,2024-08-08 02:54:35
       238 ,              2 ,2024-05-08 23:54:12
       239 ,              1 ,2024-01-07 12:08:26
       240 ,              2 ,2024-08-31 17:09:25
       241 ,              1 ,2024-07-17 20:21:14
       244 ,              1 ,2024-03-24 06:03:46
       245 ,              1 ,2024-09-12 20:57:31
       246 ,              2 ,2024-05-16 07:16:16
       247 ,              1 ,2024-07-15 03:31:40
       248 ,              2 ,2024-08-03 05:38:43
       249 ,              2 ,2024-08-06 14:30:08
       250 ,              2 ,2024-04-24 17:34:37
       251 ,              3 ,2024-09-12 07:13:08
       252 ,              1 ,2024-04-11 22:41:09
       254 ,              1 ,2024-05-21 22:18:25
       258 ,              1 ,2024-04-26 02:59:47
       259 ,              1 ,2024-04-23 17:58:39
       260 ,              1 ,2024-09-12 23:08:20
       261 ,              3 ,2024-02-23 04:21:05
       262 ,              3 ,2024-06-12 10:58:29
       263 ,              1 ,2024-03-04 20:33:36
       264 ,              2 ,2024-07-28 18:18:01
       265 ,              1 ,2024-06-15 19:18:17
       266 ,              1 ,2024-03-01 10:02:27
       268 ,              2 ,2024-07-10 06:53:18
       270 ,              2 ,2024-09-15 22:08:01
       271 ,              2 ,2024-09-18 12:31:19
       272 ,              3 ,2024-07-26 20:01:09
       273 ,              1 ,2024-04-18 14:31:31
       274 ,              1 ,2024-06-22 02:55:50
       275 ,              3 ,2024-08-21 06:42:37
       276 ,              1 ,2024-05-01 02:28:23
       278 ,              1 ,2024-06-08 19:50:45
       279 ,              1 ,2024-09-13 10:06:20
       282 ,              2 ,2024-09-09 08:26:56
       283 ,              2 ,2024-05-26 00:34:30
       284 ,              1 ,2024-02-05 03:00:25
       285 ,              4 ,2024-09-12 03:22:28
       286 ,              1 ,2024-02-07 12:09:47
       287 ,              1 ,2024-09-21 20:12:56
       288 ,              4 ,2024-07-28 22:50:08
       289 ,              2 ,2024-09-21 10:12:08
       290 ,              1 ,2024-07-17 17:59:00
       292 ,              1 ,2024-10-02 04:18:04
       293 ,              3 ,2024-04-30 14:02:13
       294 ,              2 ,2024-03-10 19:22:33
       295 ,              2 ,2024-05-28 14:21:31
       296 ,              3 ,2024-09-13 07:51:24
       297 ,              4 ,2024-09-30 06:54:49
       298 ,              3 ,2024-07-31 21:39:12
       299 ,              1 ,2024-08-05 22:00:40
       300 ,              1 ,2024-08-10 16:13:55
       302 ,              2 ,2024-08-29 20:30:59
       303 ,              2 ,2024-09-14 06:08:11
       304 ,              2 ,2024-05-18 08:33:05
       305 ,              2 ,2024-05-13 20:21:27
       306 ,              2 ,2024-06-15 20:40:54
       307 ,              2 ,2024-09-07 05:47:32
       308 ,              2 ,2024-06-27 21:20:17
       309 ,              3 ,2024-09-29 02:03:19
       310 ,              1 ,2024-08-29 11:40:33
       311 ,              1 ,2024-05-04 08:32:17
       312 ,              3 ,2024-08-20 00:53:14
       313 ,              1 ,2024-02-05 20:38:31
       314 ,              1 ,2024-05-28 23:14:47
       315 ,              2 ,2024-09-25 23:42:56
       316 ,              2 ,2024-08-04 01:22:01
       317 ,              2 ,2024-04-21 20:59:39
       318 ,              2 ,2024-09-04 00:00:24
       319 ,              3 ,2024-08-29 19:13:59
       322 ,              2 ,2024-03-27 23:30:49
       323 ,              2 ,2024-05-23 00:27:57
       324 ,              1 ,2024-08-25 10:15:39
       328 ,              1 ,2024-08-14 11:26:42
       329 ,              2 ,2024-06-25 23:05:34
       330 ,              1 ,2024-07-25 20:41:14
       331 ,              1 ,2024-09-30 11:38:08
       332 ,              1 ,2024-07-19 11:16:47
       334 ,              1 ,2024-03-25 10:48:59
       335 ,              3 ,2024-09-05 00:52:44
       336 ,              3 ,2024-07-16 09:48:25
       337 ,              1 ,2024-03-12 10:37:38
       339 ,              4 ,2024-08-16 00:10:45
       340 ,              1 ,2024-06-22 08:28:57
       342 ,              1 ,2024-08-21 23:17:12
       343 ,              2 ,2024-06-29 14:59:37
       344 ,              1 ,2024-06-30 03:18:32
       345 ,              1 ,2024-09-26 04:05:48
       346 ,              1 ,2024-06-16 15:17:44
       347 ,              1 ,2024-03-29 23:31:30
       348 ,              3 ,2024-06-28 01:51:02
       349 ,              2 ,2024-05-30 04:38:30
       350 ,              1 ,2024-06-16 00:44:29
       352 ,              3 ,2024-05-04 15:08:24
       353 ,              4 ,2024-08-19 06:35:35
       354 ,              2 ,2024-09-27 00:50:37
       355 ,              1 ,2024-02-08 05:38:52
       356 ,              1 ,2024-08-22 02:45:29
       357 ,              1 ,2024-09-08 18:08:56
       358 ,              4 ,2024-06-14 21:01:00
       359 ,              1 ,2024-02-19 00:31:58
       360 ,              1 ,2024-06-22 15:10:28
       361 ,              3 ,2024-09-27 14:37:51
       362 ,              3 ,2024-08-31 08:24:48
       363 ,              2 ,2024-08-15 14:27:02
       364 ,              1 ,2024-04-21 08:35:42
       365 ,              2 ,2024-02-28 00:35:12
       366 ,              1 ,2024-04-05 06:14:28
       369 ,              1 ,2024-02-09 19:57:22
       370 ,              1 ,2024-03-23 22:37:05
       371 ,              1 ,2024-08-26 23:19:48
       372 ,              1 ,2024-03-29 06:07:43
       373 ,              2 ,2024-09-02 08:25:50
       374 ,              3 ,2024-08-03 08:44:49
       377 ,              2 ,2024-03-15 06:26:06
       379 ,              3 ,2024-09-27 00:34:01
       381 ,              2 ,2024-04-13 08:32:02
       383 ,              3 ,2024-09-29 13:43:09
       384 ,              2 ,2024-08-17 13:39:43
       385 ,              1 ,2024-08-17 23:46:05
       387 ,              1 ,2024-09-11 09:13:04
       389 ,              5 ,2024-08-26 05:30:47
       390 ,              2 ,2024-08-10 05:26:35
       391 ,              1 ,2024-05-08 07:44:40
       392 ,              2 ,2024-04-14 22:03:39
       393 ,              3 ,2024-08-04 19:08:23
       396 ,              2 ,2024-04-21 05:41:32
       397 ,              2 ,2024-09-16 23:59:17
       399 ,              1 ,2024-09-08 21:02:08
       400 ,              3 ,2024-08-21 03:49:00
       401 ,              1 ,2024-03-28 13:22:47
       402 ,              2 ,2024-09-07 20:08:44
       403 ,              2 ,2024-08-13 16:16:55
       404 ,              1 ,2024-04-12 03:55:43
       406 ,              1 ,2024-08-08 19:17:02
       407 ,              1 ,2024-04-06 08:59:17
       408 ,              1 ,2024-07-21 04:42:23
       410 ,              4 ,2024-08-11 15:23:56
       412 ,              1 ,2024-08-15 19:27:39
       413 ,              2 ,2024-05-06 14:42:34
       414 ,              2 ,2024-06-25 19:09:20
       415 ,              2 ,2024-09-02 04:43:47
       416 ,              2 ,2024-06-04 09:41:30
       417 ,              1 ,2024-05-05 07:42:25
       418 ,              1 ,2024-04-19 04:28:05
       419 ,              3 ,2024-06-29 14:46:15
       420 ,              1 ,2024-02-08 04:07:06
       422 ,              2 ,2024-08-25 07:31:26
       423 ,              2 ,2024-05-09 08:27:45
       424 ,              4 ,2024-07-15 12:08:47
       425 ,              1 ,2024-05-01 04:45:56
       426 ,              2 ,2024-08-03 14:22:35
       427 ,              3 ,2024-08-14 03:25:04
       428 ,              2 ,2024-08-14 05:48:42
       430 ,              1 ,2024-07-13 13:35:07
       431 ,              1 ,2024-03-02 05:31:33
       432 ,              1 ,2024-07-30 04:41:54
       434 ,              1 ,2024-05-26 11:57:48
       436 ,              2 ,2024-02-17 08:03:52
       438 ,              1 ,2024-07-08 21:35:29
       439 ,              1 ,2024-09-02 23:34:04
       441 ,              4 ,2024-06-20 23:25:20
       442 ,              1 ,2024-06-02 07:48:30
       444 ,              1 ,2024-01-29 15:19:39
       447 ,              1 ,2024-02-13 01:00:40
       449 ,              1 ,2024-05-11 12:02:05
       450 ,              2 ,2024-09-03 02:55:14
       453 ,              2 ,2024-01-30 16:56:10
       454 ,              2 ,2024-08-24 00:04:44
       455 ,              4 ,2024-09-20 06:09:49
       456 ,              4 ,2024-09-13 02:07:05
       458 ,              4 ,2024-06-29 02:03:49
       459 ,              1 ,2024-09-25 23:19:53
       460 ,              1 ,2024-09-15 13:11:46
       461 ,              1 ,2024-01-07 05:44:12
       462 ,              3 ,2024-09-18 10:02:47
       464 ,              2 ,2024-08-01 11:21:58
       465 ,              1 ,2024-06-13 05:33:42
       467 ,              2 ,2024-09-18 03:51:11
       468 ,              1 ,2024-03-06 15:56:38
       470 ,              3 ,2024-07-24 00:26:23
       471 ,              2 ,2024-07-23 20:34:20
       473 ,              3 ,2024-09-01 13:57:38
       475 ,              2 ,2024-03-31 22:35:56
       476 ,              5 ,2024-09-30 00:52:38
       477 ,              2 ,2024-05-21 14:56:45
       478 ,              2 ,2024-05-09 15:22:56
       479 ,              1 ,2024-09-26 16:44:05
       480 ,              2 ,2024-09-17 00:58:32
       482 ,              3 ,2024-03-01 15:06:29
       483 ,              1 ,2024-01-31 18:04:38
       484 ,              3 ,2024-09-29 07:10:41
       486 ,              1 ,2024-09-17 04:48:22
       487 ,              2 ,2024-08-14 13:06:17
       489 ,              2 ,2024-09-23 08:46:15
       490 ,              2 ,2024-04-30 00:20:43
       491 ,              2 ,2024-05-06 03:45:12
       492 ,              2 ,2024-06-24 11:56:17
       493 ,              2 ,2024-08-27 20:43:32
       495 ,              1 ,2024-06-11 16:51:11
       496 ,              1 ,2024-02-22 21:51:54
       497 ,              2 ,2024-09-25 05:41:43
       499 ,              2 ,2024-05-20 22:26:19
       501 ,              2 ,2024-05-24 14:51:08
